fullname,mail,gender
Oliver Miller,Oliver_Miller5978@6ijur.shop,0
Norah Nurton,Norah_Nurton3260@yahoo.zone,1
Valerie Beal,Valerie_Beal5303@d9un8.property,1
Caydence Wright,Caydence_Wright2424@d9un8.page,1
Margaret Maxwell,Margaret_Maxwell1534@ptr6k.autos,1
Ramon Wood,Ramon_Wood6726@ohqqh.space,1
Rosa Jeffery,Rosa_Jeffery5256@bqkv0.club,0
Kaylee Hamilton,Kaylee_Hamilton4141@xqj6f.design,0
Rowan Murray,Rowan_Murray8714@dbxli.name,0
Mara Miller,Mara_Miller8710@dvqq2.digital,0
Johnny Rowe,Johnny_Rowe5152@nb44i.store,1
Deborah Oliver,Deborah_Oliver8881@crzq7.website,0
Alma Kennedy,Alma_Kennedy9433@iaart.biz,0
Josephine Pond,Josephine_Pond3065@1kmd3.digital,1
Julianna Weston,Julianna_Weston5503@yafr7.pro,0
Juliette Simpson,Juliette_Simpson8685@1wa8o.center,1
Margaret Willis,Margaret_Willis4173@hepmv.software,0
Ivette Callan,Ivette_Callan6664@jh02o.name,0
Tyler Craig,Tyler_Craig6669@yahoo.directory,1
Gina Morley,Gina_Morley1256@ag5wi.software,0
